id,name,symbol,price_usd,market_cap,ai,gaming,memes,rwa,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,atl,atl_change_percentage
catton-ai,Catton AI,catton,3.2801e-08,0.0,0,1,1,0,6223.0,327869.0,251877.0,3.2952e-08,3.2223e-08,5.01719e-10,1.55336,0.0,0.0,0.0,10000000000000.0,10000000000000.0,2.493e-05,-99.86849,3.2105e-08,2.1239
doge-1-mission-to-the-moon,Doge-1 Mission to the moon,doge-1,3.744e-09,0.0,0,0,1,0,6223.0,37443.0,10.15,3.744e-09,3.692e-09,2.3278e-11,0.62558,0.0,0.0,0.0,10000000000000.0,1000000000.0,9.4143e-08,-96.02299,1.057e-09,254.29117
brainlet,BRAINLET,brainlet,5.432e-05,0.0,0,0,1,0,6223.0,22814.0,162.96,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,420000000.0,420000000.0,0.03390454,-99.83979,2.151e-05,152.49197
bonzi,Bonzi,bonzi,0.00014241,0.0,0,0,1,0,6223.0,142407.0,281.03,0.00014174,0.00013788,2.24e-06,1.59919,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00500059,-97.16187,7.969e-05,78.09157
1mbabydoge,1MBABYDOGE,1mbabydoge,0.00122324,0.0,0,1,1,0,6223.0,511828717755382.0,2964299.0,0.00122784,0.00118323,2.211e-05,1.84113,0.0,0.0,0.0,4.2e+17,1000000000.0,0.006503,-81.23649,0.00097499,25.14937
dogeai,DogeAi,dogeai,3.385e-05,0.0,0,0,1,0,6223.0,33850.0,0.0,3.396e-05,3.318e-05,1.15501e-07,0.34238,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00034868,-90.29192,2.318e-05,46.00244
baby-pepe-token,Baby Pepe Token,bepe,0.00011279,0.0,0,0,1,0,6223.0,112791.0,45.15,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,1000000000.0,1000000000.0,0.00142885,-92.10618,1.99e-06,5568.07854
ape-and-pepe,Ape and Pepe,apepe,1.6e-06,0.0,0,0,1,0,6223.0,336992238.0,3072227.0,1.6e-06,1.51e-06,1.5775e-08,0.9928,0.0,0.0,0.0,210000000000000.0,210000000000000.0,6.89e-06,-76.70575,9.35053e-07,71.59768
buffy,Buffy,buffy,0.02541263,0.0,0,0,1,0,6223.0,25413.0,3.17,0.000232565,0.00020407999999999998,3.3768800000000005e-07,1.1562299999999999,356.71000000000004,0.69408,0.0,1000000.0,1000000.0,3.63,-99.30036,0.01590656,59.76193
dinger-token,Dinger,dinger,7.64054e-07,0.0,0,0,1,0,6223.0,763432.0,87.14,7.63432e-07,7.23203e-07,4.0851e-08,5.64864,0.0,0.0,0.0,1000000000000.0,1000000000000.0,0.00013483,-99.43482,3.80829e-07,100.10622
